İnstructions-	Talimatlar
Trail-	İz
Collect-	Toplamak
Enought-	Yeterli
Sorrow-	Üzüntü
Superlative-	Üstün
Far-	Uzak
Worst-	En Kötü
Suspend-	Askıya Almak
Replication-	Çoğaltmak
Glacier-	Buzul
Snap-	Ani
Desired-	İstenen
Tenancy-	Kiralık
Bound-	Bağlı
Precision-	Kesinlik
Employee-	Çalışan
Append-	Eklemek
Concurrency-	Eş Zamanlılık
Relational-	İlişki
Replica-	Kopyası
Ever-	Durmadan
Condition-	Şart
Wote-	Oy
Reach-	Ulaşmak
Rescues-	Kurtarmak
Anger-	Öfke
Dare-	Cesaret Etmek
Revert-	Eski Haline Getirmek
Destination-	Hedef
Representation-	Temsil
Grant-	Hibe
Claim-	Talep
Accessor-	Erişimci
Audience-	Kitle
Presentation-	Kesinlik
İnfrastructure-	Alt Yapı
Handlers-	İşleyiciler
Caption-	Alt Yazı
Consisteny-	Eş Zamanlılık
Assertion-	Hakkını Arama
Latency-	Gecikme
Trouble-	Sıkıntı
Trap-	Tuzak Kurma
Hunter-	Avcı
Poking-	Dürtme
Sweet-	Tatlı
Would-	İstemek
Alone-	Tek Başına
Fellow-	Dost
Jeans-	Kot Pantolon
Tie-	Kravat
Flu-	Grip
Mouth-	Ağız
Toe-	Ayak Parmağı
Waist-	Bel
Heart-	Kalp
Violin-	Keman
Pub-	Bar
Carton-	Çizgi Film
Whisper-	Fısıldamak
Horror-	Korku
Toy-	Oyuncak
Novel-	Roman
Song-	Şarkı
Announcer-	Yorumcu
Gracer-	Bakkal
Cook-	Aşçı
Everywhere-	Heryerde
Tyre-	Lastik
Motorway-	Otoban
Gear-	Vites
Chair-	Sandaliye
Wine-	Şarap
Coat-	Palto
Slippers-	Terlik
Genuine-	Gerçek
Nail-	Tırnak
Chorus-	Koro
Director-	Yönetmen
Poem-	Şiir
Key Holder-	Anahtarlık
Moustache-	Bıyık
Jump-	Atlamak
Separate-	Ayırmak
Bed Sheet-	Çarşaf
Consult-	Danışmak
Frost-	Don
Profession-	Meslek
Belong To-	Ait Olmak
Foot-	Ayak
Frosty-	Buzlu
Adjust-	Ayarlamak
Lifeguard-	Can Kurtaran
Attractive-	Çekici
Hard Working-	Çalışkan
Consultant-	Danışman
Experienced-	Deneyimli
Temperature-	Derece
Handbag-	El Çantası
Stormy-	Fırtınalı
Journalist-	Gazeteci
Shirt-	Gömlek
Glasses-	Gözlük
Remind-	Hatırlamak
Goverment-	Hükümet
Burly-	İri Yarı
Get Up-	Kalkmak
For Rent-	Kiralık
Confused-	Şaşkın
Struct-	Yapı
Aggrement- 	Anlaşma
Override-	Çiğnemek
Vehicle- 	Araç
Private-	Özel
Protected-	Korumalı
Invoke-	Çağırmak
Merchant- 	Tüccar
Slient-	Sessiz
Advanced-	Gelişmiş
Congratulate-	Tebrik Etmek
Cure-	Tedavi Etmek
Threaten-	Tehdit Etmek
Offer-	Teklif Etmek
Prefer-	Tercih Etmek
İnterpreter-	Tercüman
Tailor-	Terzi
Shave-	Traş Olmak
Aircraft-	Uçak
Transportation-	Ulaşım
Hope-	Umut Etmek
Shy-	Utangaç
Wake Up-	Uyanmak
Expert-	Uzman
Luggage-	Valiz
İnterval-	Aralık
Pressure-	Basınç
Depricated-	Kullanımdan kaldırıldı
Strict-	Sıkı
Maintance-	Bakım
Justify-	Savunmak
Promise-	Mülk
Stream-	Akış
Asset-	Varlık
Crippled-	Sakat
Brute-	Kaba
İnherist-	Mirasçı
Bind-	Bağlamak
Nested-	Yuvalanmış
Disposable-	Tek Kullanımlık
Peel-	Soymak
Reward-	Ödül
Estimate-	Tahmin Etmek
Furniture-	Mobilya
Cost-	Maliyet
İndigator-	Gösterge
Extend-	Genişlemek
Fewer-	Daha Az
Blow-	Üflemek
Spend-	Harcamak
Weater-	Hava Durumu
Dull-	Sıkıcı
Might-	Belki
Sad-	Üzgün
Present-	Sunmak
Suck-	Emmek
Bone-	Kemik
Trim-	Kırpmak
Present-	Sunmak
Bring-	Getirmek
Rectangle-	Dikdörtgen
Nearly-	Neredeyse
Waiter-	Garson
Waitress-	Garson
Hospital-	Hastane
İnjection-	İğne
Supporter-	Taraftar
Earn-	Gelir
Tablecloth-	Masa Örtüsü
Merital Status-	Medeni Durum
Reporter-	Muhabir
Climb-	Tırmanmak
Arrest-	Tutuklamak
Wild-	Vahşi
Certainly-	Kesinlikle
Premium-	Birincil Kalite
Debit Card-	Banka Kartı
Road Map-	Yol haritası
Guidbook-	Rehber
Optician-	Gözlükçü
Abdomen-	Karın
Muscle-	Kas
Planet-	Gezegen
Reluctantly-	İsteksizce
Soar-	Uçmak
Bounce-	Sıçrama 
Warn-	Uyarmak
Daemon-	Arka plan programı
Noise-	Gürültü
Exactly-	Aynen öyle
Shout-	Bağırmak 
Interested-	İlgilenen
Glad-	Memnun
Attach- 	Eklemek
Lectures-	Dersler
Swap-	Takas
Tought-	Düşünce
Offset-	Telafi Etmek
Abandon-	Terk Etmek
Justify-	Savunmak
Cute-	Sevimli
Fur-	Kürk
Hunt-	Avlanmak
Fighter-	Savaşçı
Firefighter-	İtfaiyeci
Lift-Kaldırmak
Grow-	Büyümek
Similar-	Benzer
Deal-	Anlaşma
Commend-	Övmek
Recommend-	Önermek
Mind-	Zil
Hallow-	Kutsal
Scarry-	Korkutucu
Knife-	Bıçak
Knock-	Vurmam
Less-	Daha Az
Architect-	Mimar
Mature-	Olgun
Sure-	Elbette
Maybe-	Olabilir
Cheaper-	Daha Ucuz
Nowhere-	Hiçbir yerde
Near-	Yakın
Seat-	Koltuk
Horn-	Korna
Spicy-	Acı
Grilled-	Izgara
Jam-	Reçel
Meat Balls-	Köfte
Butter-	Zeytin Yağı
Kioks-	Büfe
Razor-	Jilet
Plaster-	Yara Bandı
Jumper-	Kazak
Sweater-	Süveter
Bet-	Bahse Girmek
Skilful-	Becerikli
Bathrobe-	Bornoz
Teabot-Çaydanlık
Strawberry-	Çilek
Railway-	Demir Yolu
Skin-	Deri
Religious-	Dindar
Effect-	Etkilemek
Laugh-	Gülmek
Prepare-	Hazırlamak
Cause-	Neden Olmak
Hate-	Nefret Etmek
Apologize-	Özür Dilemek
Curtain-	Perde
Pilaff-	Pilav
Boring-	Sıkıcı
Shampoo-	Şampuan
Guess-	Tahmin etmek
Technician-	Teknisyen
Strangeat-	En tuaf
Probably-	Muhtemelen
Mess-	Karışıklık
Exposé-	Açığa çıkarmak
Junk-	Önemsiz
Tornado-	Kasırga
Throne-	Taht
Staff-	Personel
Polite-	Kibar
Swarm- 	Sürü
Handful-	Avuç
Juice-	Meyve suyu
Spell-	Harf harf kodlamak
Become-	Olmak
Suddenly-	Birden
Rent-	Kiralamak
Smell-	Kokmak
Jeweller-	Kuyumcu
Excamination-	İnceleme
Miss-Özlemek
Pistol-	Tabanca
Deliver-	Teslim etmek
Produce-	Üretmek
Visa-	Vize
Travel-	Yolculuk etmek
Soap-	Sabun
Toothpaste-	Diş macunu
Mosque-	Cami
Hold-	Tutmak
Pickle-	Turşu
Demand-	Talep etmek
Cake-	Pasta
Shoulder-	Omuz
Laugh-	Gülmek
Turn-	Dönmek
Rid-	Kurtulmak
Consider-	Düşünmek
Aspect-	Bakış açısı
Oriented-	Odaklı
Reusability-	Tek kullanılabilirlik
Modularity-	Modulerlik
İntercept-	Tutmak
Concern-	İlgilendirmek
Affinity-	Yakınlık
Taint-	Leke
Toleration-	Hoş Görü
Persistent-	Israrcı
İmmediate-	Hemen
Stranger-	Yabancı
Suddenly-	Birden
İmplementation-	Uygulama
Talent-	Yetenek
Acquisition-	Kazanma
Executive-	Yönetici 
Careers-	Kariyer
Blend- 	Karışım	
Relational- 	İlişkisel
strangeat-	en tuaf
probably-	muhtemelen
mess-	karışıklık
expose-	açığa çıkarmak
junk-	önemsiz
tornado-	kasırga
throne-	taht
staff-	personel
polite-	kibar
hook-	kanca
benchmark-	kalite testi
dispose-	elden çıkarmak
eager-	istekli
dispatch-	sevk
detect-	tespit etmek
magic-	büyü
Associate-	ortak
bucket-	kova
vault-	mahzen
spread-	yayılmış
